1;ACEITE COCINA 250ML;2544;1;MG;2120
2;ACEITE COCINA 500ML;4680;1;MG;3900
3;ACEITE COCINA 900ML;8053,5;1;MG;6825
4;ACEITE COCINA PITUFO X6;8376;6;MG;6980
5;ACEITE PEQUEÑO CORPORAL EKO X12;9204;12;VITORIA;7800
6;ACETAMINOFEN;8401,2;100;MG;7001
7;ACETATO BOLSILLO CARTA;7800;25;VITORIA;6500
8;ACETATO BOLSILLO OFICIO;9000;25;VITORIA;7500
9;ACUARELA ECONOMICA X6;11520;6;VITORIA;9600
10;ADVIL GRIPA X20;29182,58;20;MG;24731
11;ADVIL MAX X20;27169,5;20;MG;23025
12;ADVIL MAX X40;54339;40;MG;46050
13;ADVIL ULTRA X20;27140;20;MG;23000
14;ADVIL ULTRA X40;54280;40;MG;46000
15;AGOGO ATOMICO CONGELANTE;5546;60;MONTEVERDE;4700
16;AGOGO ATOMICO PICANTE;5546;60;MONTEVERDE;4700
17;AGOGO ATOMICO PIÑA NARANJA;5546;60;MONTEVERDE;4700
18;AGOGO GIGANTE;5664;100;MONTEVERDE;4800
19;AGUA OXIGENADA;1593;1;VITORIA;1350
20;AGUILA ROJA 125GR;3363;1;MG;2850
21;AGUA OXIGENADA JGB;3068;1;VARIOS;2600
22;AGUILA ROJA 250GR;5959;1;MG;5050
23;AGUILA ROJA 500GR;12036;1;MG;10200
24;AGUILA ROJA 5L;53100;1;OROSOL;45000
25;AGUILA ROJA PAPELETA;11940;10;MG;9950
26;AGUILA ROJA PERSONAL X24;2190,08;24;MONTEVERDE;1856
27;AGUJA CAPOTERA;2880;25;VITORIA;2400
28;AGUJA OJO DORADO;1440;20;VITORIA;1200
29;AGUJA PAÑO x10;11400;10;VITORIA;9500
30;AJI SOBRES X40;7200;40;VARIOS;6000
31;AJO EL REY 13GR;7736,08;25;MONTEVERDE;6556
32;AJO EL REY 55GR X12;14396;12;OROSOL;12200
33;LA FINA 250GR;3540;12;VITORIA;3000
34;AROMATICA JAIBEL;2808,4;12;VITORIA;2380
35;ALCANCIAS GRANDES X12;9912;12;VITORIA;8400
36;ALCANCIAS PEQUEÑAS X12;6372;12;VITORIA;5400
37;ALCOHOL 1000ML;0;1;MG;0
38;ALCOHOL 120ML;1534;1;MG;1300
39;ALCOHOL 330ML;2360;1;MG;2000
40;ALCOHOL 700ML;4207,2;1;MG;3506
41;ALFILERES CAJA;1440;1;VITORIA;1200
42;ALGODÓN 10GR X12;5625,06;12;MG;4767
43;ALGODÓN 15GR X6;4248;6;MG;3600
44;ALGODÓN 25GR;814,2;1;MG;690
45;ALGODÓN 50GR;1357;1;MG;1150
46;ALGODON POMOS;1372,34;1;MG;1163
47;ALGODON POMOS COLORES;1538,72;1;MG;1304
48;ALKASELTZER EXTREME;27140;60;MG;23000
49;ALKASELTZER X30;19234;30;MG;16300
50;ALKASELTZER X60;38384,22;60;MG;32529
51;ALUMINIO 40M;11210;1;LIDER;9500
52;ALUMINIO 7M;2160;1;MG;1800
53;ALVERJA VERDE SECA X6;7929,6;6;OROSOL;6720
54;ARCHIVADOR 1/2 CARTA;5760;1;VITORIA;4800
55;ARCHIVADOR CARTA;18000;1;VITORIA;15000
56;ARCILLA;480;1;VITORIA;400
57;AREQUIPE SUPERCOCO X6;6611,54;6;MONTEVERDE;5603
58;ARIEL 125GR;1254,34;1;MG;1063
59;ARIEL 225GR;2083,88;1;MG;1766
60;ARIEL 2KG;16284;1;OROSOL;13800
61;ARIEL 450GR;3072,72;1;MG;2604
62;ARIEL 800GR;7670;1;MG;6500
63;AROMATEL 200ML COCO X3;2967,7;3;MG;2515
64;AROMATEL 200ML FLORAL X3;2967,7;3;MG;2515
65;AROMATEL 200ML MANDARINA X3;2967,7;3;MG;2515
66;AROMATEL 200ML MANZANA X3;2967,7;3;MG;2515
67;AROMATEL 400ML;2596;1;OROSOL;2200
68;AROMATICA DE PANELA FRUTAS EXOTICAS;2655;25;OROSOL;2250
69;AROMATICA DE PANELA LIMONCILLO;2902,8;25;OROSOL;2460
70;AROMATICA DE PANELA MARACUYA;2902,8;25;OROSOL;2460
71;AROMATICA DE PANELA YERBABUENA;2655;25;OROSOL;2250
72;AROMATICA TIZANA;1200;20;OROSOL;1000
73;AROMAX DUO X24;9369,2;24;OROSOL;7940
74;ARROZ DIANA;50150;25;OROSOL;42500
